t [s],x [m],y [m],yaw [rad]
0.0,0.0,0.0,0.0
0.1,0.0034828479434151883,0.00011760781749083592,0.03269564332734226
0.2,0.013377426968399971,0.000422766427632256,0.02924285597754379
0.30000000000000004,0.02885278986706319,0.000843978566927629,0.02531074483577852
0.4,0.04907798943151364,0.0013097469718803224,0.020792205427304984
0.5,0.07322207845386017,0.0017485743789937057,0.015545712461677406
0.6000000000000001,0.10045410972621166,0.002088963524771147,0.0093803138813224
0.7000000000000001,0.1299431360406768,0.0022594171457160145,0.00203204523028795
0.8,0.16085821018936458,0.0021884379783316766,0.0
0.9,0.1923683849643837,0.001804528759121505,0.0
1.0,0.2236427131578431,0.0010361922245888631,0.0
1.1,0.2538506128747259,0.0,0.0
1.2000000000000002,0.2823978461196039,0.0,0.0
1.3,0.3093329496644956,0.0,0.0
1.4000000000000001,0.33481270113307454,0.0,0.0
1.5,0.3589938781490143,0.0,0.0
1.6,0.38203325833598833,0.0,0.0
1.7000000000000002,0.40408761931767023,0.0,0.0
1.8,0.42531373871773337,0.0,0.016801958523162307
1.9000000000000001,0.4458683941598513,0.0,0.07234894191695268
2.0,0.46590836326769763,0.0,0.14034872289791958
2.1,0.4855904236649458,0.0,0.21887070782219786
2.2,0.5050708069860749,0.0015304271543535235,0.30427703081299173
2.3000000000000003,0.5244462800701842,0.008501792203534917,0.3847053203377252
2.4000000000000004,0.543701510086002,0.01713484067261477,0.4565704534334332
2.5,0.5628087454758078,0.02730929606566071,0.5205009358850465
2.6,0.5817402346818815,0.03890488188674051,0.5772600998386203
2.7,0.6004682261465027,0.05180132163992181,0.627641015152715
2.8000000000000003,0.6189649683119511,0.0658783388292723,0.6724040208554662
2.9000000000000004,0.6372027096205064,0.08101565695885965,0.7122446135853294
3.0,0.655153698514448,0.09709299953275147,0.747780703093878
3.1,0.6727901834360562,0.11399009005501559,0.779551123649615
3.2,0.6900844128276103,0.13158665202971961,0.8080200360450388
3.3000000000000003,0.70700863513139,0.14976240896093124,0.8335839296118839
3.4000000000000004,0.723535098789675,0.16839708435271813,0.8565793280098859
3.5,0.7396360522447449,0.18737040170914784,0.877290171215313
3.6,0.7552849763448409,0.2065615255251729,0.8954867081890989
3.7,0.7705253563911854,0.22581786685689123,0.9054380367384862
3.8000000000000003,0.7855069778084734,0.24493861990665572,0.9051984604161356
3.9000000000000004,0.8003885169726882,0.26371894601510787,0.8943829792231115
4.0,0.8153286502598127,0.28195400652288904,0.8724236585142799
4.1000000000000005,0.8304860540458301,0.29943896277064075,0.8385823196898972
4.2,0.8460194047067231,0.3159689760990043,0.792011925735636
4.3,0.8620873786184748,0.3313392078486212,0.7318940392625604
4.4,0.8788486521570688,0.345344819360133,0.6576839475116588
4.5,0.8964619016984869,0.35778097197418074,0.5694771028257604
4.6000000000000005,0.9150643699088412,0.3684724120389368,0.47470333022172134
4.7,0.9346376623871957,0.3774587121658797,0.38765456365566636
4.800000000000001,0.9550946976450906,0.38487425393860863,0.3095623724388005
4.9,0.9763480924772873,0.3908538354012044,0.240661404440709
5.0,0.998310463678548,0.39553225459774743,0.18074179598787204
5.1000000000000005,1.020894428043635,0.39904430957231873,0.12932976126961573
5.2,1.0440126023673095,0.40152479836899885,0.08583181558758568
5.300000000000001,1.067577603444334,0.4031085190318685,0.04963532235903806
5.4,1.0915020480694706,0.40393026960500833,0.0201716117153916
5.5,1.1156985530374808,0.4041248481324992,0.0
5.6000000000000005,1.140079735143127,0.40382705265842167,0.0
5.7,1.1645582111811708,0.40317168122685654,0.0
5.800000000000001,1.1890465979463747,0.40229353188188444,0.0
5.9,1.2134575122335,0.401327402667586,0.0
6.0,1.237703570837309,0.40040809162804214,0.0
6.1000000000000005,1.2616997072678453,0.3996671542483832,0.0
6.2,1.2854169800553341,0.39915759139462975,0.0
6.300000000000001,1.308884197726615,0.3988515749375889,0.0
6.4,1.3321328106020913,0.39871757919773293,0.0
6.5,1.355194269002167,0.3987240784955339,0.0028826278311195456
6.6000000000000005,1.3781000232472453,0.39883954715146386,0.006981324665185807
6.7,1.4008815236577297,0.3990324594859951,0.009728113955919996
6.800000000000001,1.423570220554024,0.3992712898195996,0.01109225813616803
6.9,1.4461975642565315,0.39952451247274945,0.011054027950978887
7.0,1.4687950050856555,0.399760601765917,0.009605083012644693
7.1000000000000005,1.4913939933618003,0.39994803201957413,0.006748704159569407
7.2,1.514024995910198,0.4000572937759489,0.0029313895598022006
7.300000000000001,1.5367048424483962,0.4000868344336107,0.0
7.4,1.5594403906292889,0.40005554469812515,0.0
7.5,1.5822382702058198,0.3999827824830851,0.0
7.6000000000000005,1.6051051109309318,0.3998879057020837,0.0
7.7,1.6280475425575682,0.3997902722687138,0.0
7.800000000000001,1.651072194838673,0.39970924009656816,0.0
7.9,1.674185697527189,0.39966416709923996,0.0
8.0,1.6973946803760591,0.3996744111903221,0.001907018678571635
8.1,1.7207057731382271,0.39975933028340743,0.00550872966464719
8.200000000000001,1.7441256055666372,0.39993828229208883,0.009899873520576986
8.3,1.7676560254708595,0.40021954504537105,0.013197689455870914
8.4,1.7912572501825155,0.4005149357533653,0.01086370311351798
8.5,1.8148680575857832,0.40068659498370984,0.0026998469535145213
8.6,1.8384270482545424,0.4005962524641515,0.0
8.700000000000001,1.8618728227626726,0.4001056379224367,0.0
8.8,1.885143981684054,0.3990764810863121,0.0
8.9,1.9081791255925653,0.3973705116835241,0.0
9.0,1.9309168550620877,0.3948494594418194,0.0
9.1,1.9532957706665002,0.3913750540889445,0.0
