t,err_pos
0.071164501,0.005857726521837745
0.171145546,0.025235621482210528
0.271160703,0.055541031301581154
0.371136711,0.09543517502085727
0.471090108,0.14096355400972815
0.5717206880000001,0.18827648793135157
0.671192346,0.23311228101606044
0.7711892060000001,0.2721226012129969
0.871199288,0.3066390276794248
0.971205278,0.3377592620151996
1.141696068,0.39913857760296706
1.171110294,0.39356425638586584
1.27115858,0.4201788966012896
1.371121218,0.4469086515564681
1.471088208,0.473296250420915
1.571103549,0.5002617753849478
1.671227298,0.5294949013008042
1.771174177,0.5579815032018678
1.871217129,0.5866248293353842
1.971182897,0.6155555495575843
2.124417138,0.670852746033673
2.171119543,0.674084910869716
2.2711230330000003,0.7032420428965533
2.371122948,0.7328842843145048
2.471081772,0.7631073599632222
2.571086798,0.7932514742903375
2.671140492,0.8252404671226271
2.771109982,0.8573115816278423
2.871140731,0.8876026585940152
2.9712026650000003,0.9191844821383739
3.133340726,0.9812776953147192
3.171108885,0.9826511667166952
3.2711334310000004,1.0150424148486246
3.371217994,1.0483722945763327
3.665753095,1.1609562745392692
3.671414074,1.144819907211977
3.771126158,1.169546200235812
3.871192073000001,1.2009964655047043
3.971193582,1.231102689374644
4.138235014,1.2935644211148543
4.171117062,1.2914772151586036
4.271097793,1.3223453203862565
4.371089597,1.3531137296109492
4.471090569,1.3843507508976587
4.571087837,1.4165105070265616
4.671097845,1.4479972003431183
4.771181242,1.4811454426468298
4.871184491,1.5135398376424958
4.971199,1.5455705735867173
5.128390561000001,1.6059911318524245
5.171165813,1.6071838877885412
5.271088563,1.6357151310611506
5.371080238,1.662432067310004
5.471079061,1.6866752846155817
5.571117181,1.709445128305958
5.671097875,1.7307057420212466
5.771165217,1.751887372075574
5.871189688,1.7712294960154449
5.971198993000001,1.790088426644217
6.219583983000001,1.8565130471516864
6.271082093,1.8484521281928419
6.371102102,1.8694424623489712
6.471103425000001,1.8910531746385473
6.571100823,1.913903323223012
6.671205257,1.9390045166029437
6.771207673,1.9635077913558396
6.871207626,1.9888604276977349
6.9712175610000005,2.0148621189682756
7.123915009,2.067571706979577
7.171090801,2.0708441524835695
7.271101513,2.102256900937363
7.371084837000001,2.136782123454177
7.471086809000001,2.1753995757098963
7.571187576000001,2.2200232127618857
7.671176900000001,2.267129219404804
7.77119252,2.314605941498785
7.871200621000001,2.358055250077024
7.971202926,2.393127363492555
8.134105856,2.430981436279022
8.171120611000001,2.4200218851374697
8.271098712,2.4140767256465523
8.371096592,2.4078730001264277
8.471101026000001,2.401873329730697
8.571239498,2.3972572679584983
8.671204895,2.3913225070754986
8.771201201,2.385501891778879
8.871195376000001,2.3796247526386627
8.971144107,2.373840153280153
9.12975609,2.373840153280153
9.17108507,2.3626649047963793
9.271093505,2.3571676911053476
9.37110118,2.351814865344092
9.471095819,2.3463932353481822
9.571212402,2.342106625342457
9.671220281,2.33694041872229
9.771202679,2.3317231316732077
9.871199095,2.3265704960881495
9.971153067,2.3216775126173355
10.127658316,2.3216775126173355
10.171100604,2.31162092595135
10.27110628,2.3068460160158497
10.371108603,2.301960390581419
10.47119889,2.298142167239726
10.571205343,2.2934870751300127
10.671206704,2.2887048906533973
10.771197102,2.283960360538091
10.871186871,2.279406745646142
10.971091769,2.2747832047902534
11.121182912,2.2747832047902534
11.17108438,2.265830188177632
11.271086481,2.2613511965297057
11.371099102,2.2570712343198274
11.471185147,2.253764078484998
11.571202582000002,2.2495265519002006
11.671192110000002,2.2453146097111816
11.771197415,2.241256003311185
11.871137203,2.2370687121275417
11.971114915,2.232870031660825
12.130884264,2.232870031660825
12.171125934,2.224893626330011
12.271103258,2.2207585160562067
12.371166582,2.2175549713431018
12.471189498,2.2129644079341344
12.571213544,2.2082062625232295
12.671207443,2.2035917776664906
12.771214674,2.1987386091948493
12.871082147,2.1938386509307493
12.971114267,2.1887093109741125
13.133023182,2.1887093109741125
13.171103415,2.1785123854792827
13.271098795,2.1731573655342817
13.371203193,2.168990197948274
13.471184072000002,2.163939756309911
13.57120797,2.1585808866330263
13.671211332,2.153238400161659
13.771160137,2.147576569206482
13.871098406000002,2.141914697918855
13.971120101,2.136481056233947
14.137074557,2.136481056233947
14.171112397000002,2.1245788472046354
14.271130295,2.1183789452508943
14.371214342,2.113489309210592
14.471210925,2.1070119586749105
14.571215879,2.1004794476211264
14.671207203000002,2.0941182681343595
14.771100565,2.087508708301944
14.871088796,2.080898683574598
14.971089843,2.073871073868532
15.132625464,2.073871073868532
15.171091973,2.0600727264044467
15.271175945,2.0543862907295165
15.371204658000002,2.0473606646663947
15.471204149000002,2.040528816288671
15.571218677,2.0339670723837684
15.671144094,2.0271057128393895
15.771123122,2.020252573542565
15.871079558000002,2.0136638534566633
15.971083734,2.00664383621342
16.125455492,2.00664383621342
16.171184586000003,1.9942995748779337
16.271187929,1.987237854436227
16.371172716,1.9802277749885502
16.471178874,1.9734856235400104
16.571202124000003,1.9664391584361687
16.671089542,1.959400349616153
16.771095348,1.9521009018094482
16.871087116,1.9448583584337011
16.971115589,1.9378533165319003
17.129586406,1.9378533165319003
17.171189589,1.9244663758868936
17.271177914000003,1.9173254598523233
17.371177646,1.9099853622882637
17.4711711,1.902660291856777
17.571145906,1.8955868733989003
17.671082916,1.88826408633822
17.771083629,1.8810085462799175
17.871084083,1.8740070550519838
17.971108926,1.8666315854790907
18.130807017,1.8666315854790907
18.171198427,1.8536571438255456
18.271207733,1.8463081500086507
18.371205428,1.8390629532062135
18.471169456,1.832074225482386
18.571101911,1.824845092025806
18.671097198,1.8176346736399343
